624, 1403150230, 20040063, 87, 2017-2018, 1
625, 1403150101, 20040063, 71, 2017-2018, 1
626, 1403150103, 20040063, 100, 2017-2018, 1
627, 1403150104, 20040063, 98, 2017-2018, 1
628, 1403150105, 20040063, 98, 2017-2018, 1
629, 1403150106, 20040063, 76, 2017-2018, 1
630, 1403150107, 20040063, 94, 2017-2018, 1
631, 1403150108, 20040063, 88, 2017-2018, 1
632, 1403150109, 20040063, 78, 2017-2018, 1
633, 1403150110, 20040063, 83, 2017-2018, 1
634, 1403150111, 20040063, 97, 2017-2018, 1
635, 1403150113, 20040063, 87, 2017-2018, 1
636, 1403150114, 20040063, 98, 2017-2018, 1
637, 1403150115, 20040063, 90, 2017-2018, 1
638, 1403150116, 20040063, 62, 2017-2018, 1
639, 1403150117, 20040063, 45, 2017-2018, 1
640, 1403150118, 20040063, 78, 2017-2018, 1
641, 1403150119, 20040063, 96, 2017-2018, 1
642, 1403150120, 20040063, 48, 2017-2018, 1
643, 1403150121, 20040063, 92, 2017-2018, 1
644, 1403150122, 20040063, 62, 2017-2018, 1
645, 1403150123, 20040063, 83, 2017-2018, 1
646, 1403150124, 20040063, 94, 2017-2018, 1
647, 1403150125, 20040063, 64, 2017-2018, 1
648, 1403150126, 20040063, 63, 2017-2018, 1
649, 1403150127, 20040063, 62, 2017-2018, 1
650, 1403150128, 20040063, 45, 2017-2018, 1
651, 1403150129, 20040063, 62, 2017-2018, 1
652, 1403150130, 20040063, 45, 2017-2018, 1
653, 1403150131, 20040063, 62, 2017-2018, 1
654, 1403140134, 20040063, 45, 2017-2018, 1
655, 1403140205, 20040063, 62, 2017-2018, 1
656, 1403150230, 23030051, 83, 2017-2018, 1
657, 1403150101, 23030051, 82, 2017-2018, 1
658, 1403150103, 23030051, 92, 2017-2018, 1
659, 1403150104, 23030051, 90, 2017-2018, 1
660, 1403150105, 23030051, 92, 2017-2018, 1
661, 1403150106, 23030051, 90, 2017-2018, 1
662, 1403150107, 23030051, 90, 2017-2018, 1
663, 1403150108, 23030051, 90, 2017-2018, 1
664, 1403150109, 23030051, 85, 2017-2018, 1
665, 1403150110, 23030051, 85, 2017-2018, 1
666, 1403150111, 23030051, 85, 2017-2018, 1
667, 1403150113, 23030051, 82, 2017-2018, 1
668, 1403150114, 23030051, 85, 2017-2018, 1
669, 1403150115, 23030051, 84, 2017-2018, 1
670, 1403150116, 23030051, 81, 2017-2018, 1
671, 1403150117, 23030051, 81, 2017-2018, 1
672, 1403150118, 23030051, 83, 2017-2018, 1
673, 1403150119, 23030051, 83, 2017-2018, 1
674, 1403150120, 23030051, 80, 2017-2018, 1
675, 1403150121, 23030051, 84, 2017-2018, 1
676, 1403150122, 23030051, 88, 2017-2018, 1
677, 1403150123, 23030051, 88, 2017-2018, 1
678, 1403150124, 23030051, 87, 2017-2018, 1
679, 1403150125, 23030051, 86, 2017-2018, 1
680, 1403150126, 23030051, 83, 2017-2018, 1
681, 1403150127, 23030051, 81, 2017-2018, 1
682, 1403150128, 23030051, 81, 2017-2018, 1
683, 1403150129, 23030051, 81, 2017-2018, 1
684, 1403150130, 23030051, 81, 2017-2018, 1
685, 1403150131, 23030051, 81, 2017-2018, 1
686, 1403140134, 23030051, 81, 2017-2018, 1
687, 1403140205, 23030051, 81, 2017-2018, 1
688, 1403150230, 20050101, 60, 2017-2018, 1
689, 1403150101, 20050101, 83, 2017-2018, 1
690, 1403150103, 20050101, 87, 2017-2018, 1
691, 1403150104, 20050101, 90, 2017-2018, 1
692, 1403150105, 20050101, 96, 2017-2018, 1
693, 1403150106, 20050101, 94, 2017-2018, 1
694, 1403150107, 20050101, 94, 2017-2018, 1
695, 1403150108, 20050101, 92, 2017-2018, 1
696, 1403150109, 20050101, 74, 2017-2018, 1
697, 1403150110, 20050101, 74, 2017-2018, 1
698, 1403150111, 20050101, 74, 2017-2018, 1
699, 1403150113, 20050101, 61, 2017-2018, 1
700, 1403150114, 20050101, 88, 2017-2018, 1
701, 1403150115, 20050101, 83, 2017-2018, 1
702, 1403150116, 20050101, 47, 2017-2018, 1
703, 1403150117, 20050101, 50, 2017-2018, 1
704, 1403150118, 20050101, 80, 2017-2018, 1
705, 1403150119, 20050101, 77, 2017-2018, 1
706, 1403150120, 20050101, 43, 2017-2018, 1
707, 1403150121, 20050101, 82, 2017-2018, 1
708, 1403150122, 20050101, 76, 2017-2018, 1
709, 1403150123, 20050101, 65, 2017-2018, 1
710, 1403150124, 20050101, 71, 2017-2018, 1
711, 1403150125, 20050101, 49, 2017-2018, 1
712, 1403150126, 20050101, 49, 2017-2018, 1
713, 1403150127, 20050101, 47, 2017-2018, 1
714, 1403150128, 20050101, 50, 2017-2018, 1
715, 1403150129, 20050101, 47, 2017-2018, 1
716, 1403150130, 20050101, 50, 2017-2018, 1
717, 1403150131, 20050101, 47, 2017-2018, 1
718, 1403140134, 20050101, 50, 2017-2018, 1
719, 1403140205, 20050101, 47, 2017-2018, 1
720, 1403150230, 28010030, 93, 2017-2018, 1
721, 1403150101, 28010030, 97, 2017-2018, 1
722, 1403150103, 28010030, 95, 2017-2018, 1
723, 1403150104, 28010030, 97, 2017-2018, 1
724, 1403150105, 28010030, 89, 2017-2018, 1
725, 1403150106, 28010030, 87, 2017-2018, 1
726, 1403150107, 28010030, 86, 2017-2018, 1
727, 1403150108, 28010030, 85, 2017-2018, 1
728, 1403150109, 28010030, 95, 2017-2018, 1
729, 1403150110, 28010030, 95, 2017-2018, 1
730, 1403150111, 28010030, 95, 2017-2018, 1
731, 1403150113, 28010030, 78, 2017-2018, 1
732, 1403150114, 28010030, 93, 2017-2018, 1
733, 1403150115, 28010030, 84, 2017-2018, 1
734, 1403150116, 28010030, 40, 2017-2018, 1
735, 1403150117, 28010030, 85, 2017-2018, 1
736, 1403150118, 28010030, 85, 2017-2018, 1
737, 1403150119, 28010030, 90, 2017-2018, 1
738, 1403150120, 28010030, 77, 2017-2018, 1
739, 1403150121, 28010030, 97, 2017-2018, 1
740, 1403150122, 28010030, 84, 2017-2018, 1
741, 1403150123, 28010030, 88, 2017-2018, 1
742, 1403150124, 28010030, 93, 2017-2018, 1
743, 1403150125, 28010030, 83, 2017-2018, 1
744, 1403150126, 28010030, 80, 2017-2018, 1
745, 1403150127, 28010030, 40, 2017-2018, 1
746, 1403150128, 28010030, 85, 2017-2018, 1
747, 1403150129, 28010030, 40, 2017-2018, 1
748, 1403150130, 28010030, 85, 2017-2018, 1
749, 1403150131, 28010030, 40, 2017-2018, 1
750, 1403140134, 28010030, 85, 2017-2018, 1
751, 1403140205, 28010030, 40, 2017-2018, 1
752, 1403150230, 14040242, 旷考, 2017-2018, 1
753, 1403150101, 14040242, 70, 2017-2018, 1
754, 1403150103, 14040242, 95, 2017-2018, 1
755, 1403150104, 14040242, 88, 2017-2018, 1
756, 1403150105, 14040242, 84, 2017-2018, 1
757, 1403150106, 14040242, 78, 2017-2018, 1
758, 1403150107, 14040242, 85, 2017-2018, 1
759, 1403150108, 14040242, 91, 2017-2018, 1
